Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick
2020,ATL,CAR,5,Sun,1:00PM,1,-0.5%,1.5,-7,-5.5,11.2,4.66,6.16,-11.66,"[[-1.0, -3.0], [-6.0, -8.5]]",0,
2020,BAL,CIN,5,Sun,1:00PM,1,17.7%,-4.0,24,20.0,29.8,8.6,4.6,15.4,"[[-5.0, -7.0], [-10.0, -12.5]]",0,
2020,BUF,TEN,5,Tue,7:00PM,0,6.3%,-4.5,-26,-30.5,4.199999999999998,-1.3,-5.8,-24.7,"[[5.0, 3.0], [-0.0, -2.5]]",0,
2020,CAR,ATL,5,Sun,1:00PM,0,-11.7%,-1.5,7,5.5,-11.2,-4.66,-6.16,11.66,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,CHI,TB,5,Thu,8:20PM,1,-4.9%,4.0,1,5.0,-20.1,-2.25,1.75,3.25,"[[6.0, 4.0], [1.0, -1.5]]",1,CHI
2020,CIN,BAL,5,Sun,1:00PM,0,-12.1%,7.0,-24,-17.0,-29.8,-8.6,-1.5999999999999996,-15.4,"[[12.5, 10.0], [7.0, 5.0]]",1,BAL
2020,CLE,IND,5,Sun,4:25PM,1,-2.6%,-2.5,9,6.5,-14.9,-1.08,-3.58,10.08,"[[5.0, 2.5], [-0.5, -2.5]]",1,IND
2020,DAL,NYG,5,Sun,4:25PM,1,3.6%,11.0,3,14.0,18.1,6.13,17.13,-3.13,"[[-2.5, -4.5], [-7.5, -10.0]]",0,
2020,IND,CLE,5,Sun,4:25PM,0,12.3%,-3.0,-9,-12.0,14.9,1.08,-1.92,-10.08,"[[2.5, 0.5], [-2.5, -5.0]]",1,CLE
2020,KC,LV,5,Sun,1:00PM,1,22.6%,-20.0,-8,-28.0,29.3,8.5,-11.5,-16.5,"[[-5.0, -7.0], [-10.0, -12.0]]",0,
2020,LAC,NO,5,Mon,8:15PM,0,-3.2%,-3.5,-3,-6.5,-22.8,-7.13,-10.63,4.13,"[[11.0, 8.5], [5.5, 3.5]]",0,
2020,LAR,WAS,5,Sun,1:00PM,0,8.3%,-3.5,20,16.5,-11.3,-4.68,-8.18,24.68,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,LV,KC,5,Sun,1:00PM,0,-6.7%,2.5,8,10.5,-29.3,-8.5,-6.0,16.5,"[[12.0, 10.0], [7.0, 5.0]]",0,
2020,MIA,SF,5,Sun,4:05PM,0,-14.1%,3.5,26,29.5,-21.4,-6.84,-3.34,32.84,"[[10.5, 8.5], [5.5, 3.0]]",1,SF
2020,MIN,SEA,5,Sun,8:20PM,0,-0.7%,6.5,-1,5.5,-13.2,-5.09,1.41,4.09,"[[9.0, 6.5], [3.5, 1.5]]",1,MIN
2020,NO,LAC,5,Mon,8:15PM,1,19.6%,-4.0,3,-1.0,22.8,7.13,3.13,-4.13,"[[-3.5, -5.5], [-8.5, -11.0]]",1,NO
2020,NYG,DAL,5,Sun,4:25PM,0,-14.5%,12.5,-3,9.5,-18.1,-6.13,6.37,3.13,"[[10.0, 7.5], [4.5, 2.5]]",0,
2020,NYJ,ARI,5,Sun,1:00PM,1,-16.6%,20.0,-20,0.0,-20.200000000000006,-2.27,17.73,-17.73,"[[6.0, 4.0], [1.0, -1.5]]",0,
2020,PHI,PIT,5,Sun,1:00PM,0,-5.3%,-11.0,-9,-20.0,-16.7,-5.84,-16.84,-3.16,"[[9.5, 7.5], [4.5, 2.0]]",0,
2020,PIT,PHI,5,Sun,1:00PM,1,11.4%,4.0,9,13.0,16.7,5.84,9.84,3.16,"[[-2.0, -4.5], [-7.5, -9.5]]",0,
2020,SEA,MIN,5,Sun,8:20PM,1,12.5%,-3.0,1,-2.0,13.2,5.09,2.09,-4.09,"[[-1.5, -3.5], [-6.5, -9.0]]",1,SEA
2020,SF,MIA,5,Sun,4:05PM,1,7.3%,3.0,-26,-23.0,21.4,6.84,9.84,-32.84,"[[-3.0, -5.5], [-8.5, -10.5]]",0,
2020,TB,CHI,5,Thu,8:20PM,0,15.2%,-12.5,-1,-13.5,20.1,2.25,-10.25,-3.25,"[[1.5, -1.0], [-4.0, -6.0]]",0,
2020,TEN,BUF,5,Tue,7:00PM,1,2.1%,-7.0,26,19.0,-4.199999999999998,1.3,-5.7,24.7,"[[2.5, 0.0], [-3.0, -5.0]]",0,
2020,ATL,MIN,6,Sun,1:00PM,0,-1.7%,1.5,17,18.5,-3.1,-2.9,-1.4,19.9,"[[6.5, 4.5], [1.5, -1.0]]",1,MIN
2020,BAL,PHI,6,Sun,1:00PM,0,21.2%,-4.0,2,-2.0,27.9,4.02,0.01999999999999957,-2.02,"[[-0.5, -2.5], [-5.5, -7.5]]",0,
2020,BUF,KC,6,Mon,5:00PM,1,7.1%,-4.5,-9,-13.5,-15.1,-1.12,-5.62,-7.88,"[[5.0, 2.5], [-0.5, -2.5]]",0,
2020,CAR,CHI,6,Sun,1:00PM,1,-8.8%,-1.5,-7,-8.5,-4.700000000000001,1.19,-0.31000000000000005,-8.19,"[[2.5, 0.5], [-2.5, -5.0]]",0,
2020,CHI,CAR,6,Sun,1:00PM,0,-4.1%,4.0,7,11.0,4.700000000000001,-1.19,2.81,8.19,"[[5.0, 2.5], [-0.5, -2.5]]",1,CHI
2020,CIN,IND,6,Sun,1:00PM,0,-16.4%,7.0,-4,3.0,-29.5,-8.54,-1.5399999999999991,4.539999999999999,"[[12.0, 10.0], [7.0, 5.0]]",1,IND
2020,CLE,PIT,6,Sun,1:00PM,0,-3.3%,-2.5,-31,-33.5,-14.8,-5.43,-7.93,-25.57,"[[9.0, 7.0], [4.0, 1.5]]",0,
2020,DAL,ARI,6,Mon,8:15PM,1,-5.1%,11.0,-28,-17.0,-16.6,-1.46,9.54,-26.54,"[[5.0, 3.0], [-0.0, -2.0]]",0,
2020,DEN,NE,6,Sun,1:00PM,0,-16.0%,3.5,6,9.5,-15.3,-5.54,-2.04,11.54,"[[9.0, 7.0], [4.0, 2.0]]",1,NE
2020,DET,JAX,6,Sun,1:00PM,0,-2.2%,3.0,18,21.0,-1.5000000000000002,-2.55,0.4500000000000002,20.55,"[[6.0, 4.0], [1.0, -1.0]]",0,
2020,GB,TB,6,Sun,4:25PM,0,7.3%,-6.5,-28,-34.5,-7.500000000000001,-3.86,-10.36,-24.14,"[[7.5, 5.5], [2.5, 0.0]]",0,
2020,IND,CIN,6,Sun,1:00PM,1,13.1%,-3.0,4,1.0,29.5,8.54,5.539999999999999,-4.539999999999999,"[[-5.0, -7.0], [-10.0, -12.0]]",0,
2020,KC,BUF,6,Mon,5:00PM,0,22.2%,-20.0,9,-11.0,15.1,1.12,-18.88,7.88,"[[2.5, 0.5], [-2.5, -5.0]]",0,
2020,LAR,SF,6,Sun,8:20PM,0,12.7%,-3.5,-8,-11.5,10.8,0.16,-3.34,-8.16,"[[3.5, 1.5], [-1.5, -4.0]]",1,SF
2020,MIA,NYJ,6,Sun,4:05PM,1,-8.4%,3.5,24,27.5,11.1,4.64,8.14,19.36,"[[-1.0, -3.0], [-6.0, -8.5]]",0,
2020,MIN,ATL,6,Sun,1:00PM,1,1.4%,6.5,-17,-10.5,3.1,2.9,9.4,-19.9,"[[1.0, -1.5], [-4.5, -6.5]]",0,
2020,NE,DEN,6,Sun,1:00PM,1,-0.7%,4.5,-6,-1.5,15.3,5.54,10.04,-11.54,"[[-2.0, -4.0], [-7.0, -9.0]]",0,
2020,NYG,WAS,6,Sun,1:00PM,1,-14.0%,12.5,1,13.5,2.0,2.66,15.16,-1.66,"[[1.0, -1.0], [-4.0, -6.5]]",0,
2020,NYJ,MIA,6,Sun,4:05PM,0,-19.5%,20.0,-24,-4.0,-11.1,-4.64,15.36,-19.36,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,PHI,BAL,6,Sun,1:00PM,1,-6.7%,-11.0,-2,-13.0,-27.9,-4.02,-15.02,2.02,"[[7.5, 5.5], [2.5, 0.5]]",0,
2020,PIT,CLE,6,Sun,1:00PM,1,11.5%,4.0,31,35.0,14.8,5.43,9.43,25.57,"[[-1.5, -4.0], [-7.0, -9.0]]",0,
2020,SF,LAR,6,Sun,8:20PM,1,1.9%,3.0,8,11.0,-10.8,-0.16,2.84,8.16,"[[4.0, 1.5], [-1.5, -3.5]]",1,SF
2020,TB,GB,6,Sun,4:25PM,1,14.8%,-12.5,28,15.5,7.500000000000001,3.86,-8.64,24.14,"[[-0.0, -2.5], [-5.5, -7.5]]",0,
2020,TEN,HOU,6,Sun,1:00PM,1,1.8%,-7.0,6,-1.0,-5.5,1.01,-5.99,4.99,"[[2.5, 0.5], [-2.5, -4.5]]",0,
2020,ATL,DET,7,Sun,1:00PM,1,-2.8%,1.5,-1,0.5,-3.0,1.56,3.06,-2.56,"[[2.0, -0.0], [-3.0, -5.5]]",1,ATL
2020,BUF,NYJ,7,Sun,1:00PM,0,1.4%,-4.5,8,3.5,26.4,3.68,-0.8199999999999998,4.32,"[[0.0, -2.0], [-5.0, -7.5]]",0,
2020,CAR,NO,7,Sun,1:00PM,0,-8.3%,-1.5,-3,-4.5,-26.3,-7.87,-9.37,4.87,"[[11.5, 9.5], [6.5, 4.0]]",0,
2020,CHI,LAR,7,Mon,8:15PM,0,-0.7%,4.0,-14,-10.0,-10.9,-4.59,-0.5899999999999999,-9.41,"[[8.5, 6.0], [3.0, 1.0]]",0,
2020,CIN,CLE,7,Sun,1:00PM,1,-18.8%,7.0,-3,4.0,-9.9,0.04,7.04,-3.04,"[[3.5, 1.5], [-1.5, -3.5]]",0,
2020,CLE,CIN,7,Sun,1:00PM,0,-8.9%,-2.5,3,0.5,9.9,-0.04,-2.54,3.04,"[[3.5, 1.5], [-1.5, -3.5]]",1,CIN
2020,DAL,WAS,7,Sun,1:00PM,0,-12.0%,11.0,-22,-11.0,6.800000000000002,-0.73,10.27,-21.27,"[[4.5, 2.0], [-1.0, -3.0]]",0,
