Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD,WDVOA Delta,EGO,Spread to EGO Diff,Margin to EGO Diff,Target Spreads,Make Pick,Pick,Pick Right
2020,ARI,BUF,10,Sun,4:05PM,1,6.4%,-2.5,2,-0.5,0.5,2.34,-0.16000000000000014,-0.33999999999999986,"[[1.5, -1.0], [-4.0, -6.0]]",0,,1
2020,BAL,NE,10,Sun,8:20PM,0,18.5%,-7.0,-6,-13.0,31.6,4.87,-2.13,-10.870000000000001,"[[-1.0, -3.5], [-6.5, -8.5]]",1,NE,1
2020,BUF,ARI,10,Sun,4:05PM,0,5.9%,2.5,-2,0.5,-0.5,-2.34,0.16000000000000014,0.33999999999999986,"[[6.0, 4.0], [1.0, -1.5]]",0,,1
2020,CAR,TB,10,Sun,1:00PM,1,-3.7%,6.0,-23,-17.0,-24.599999999999998,-3.27,2.73,-19.73,"[[7.0, 5.0], [2.0, -0.5]]",1,CAR,0
2020,CHI,MIN,10,Mon,8:15PM,1,-1.7%,3.0,-6,-3.0,-4.5,1.23,4.23,-7.23,"[[2.5, 0.5], [-2.5, -5.0]]",0,,0
2020,CIN,PIT,10,Sun,4:25PM,0,-18.9%,7.0,-26,-19.0,-37.2,-10.14,-3.1400000000000006,-15.86,"[[14.0, 11.5], [8.5, 6.5]]",1,PIT,1
2020,CLE,HOU,10,Sun,1:00PM,1,-6.9%,-4.0,3,-1.0,-2.5,1.67,-2.33,1.33,"[[2.0, -0.0], [-3.0, -5.5]]",1,HOU,1
2020,DEN,LV,10,Sun,4:05PM,0,-16.1%,3.5,-25,-21.5,-9.500000000000002,-4.29,-0.79,-20.71,"[[8.0, 6.0], [3.0, 0.5]]",0,,1
2020,DET,WAS,10,Sun,1:00PM,1,-3.4%,-3.0,3,0.0,11.799999999999999,4.79,1.79,-1.79,"[[-1.0, -3.5], [-6.5, -8.5]]",1,DET,1
2020,GB,JAX,10,Sun,1:00PM,1,11.6%,-14.0,4,-10.0,30.4,8.73,-5.27,-4.73,"[[-5.0, -7.0], [-10.0, -12.5]]",0,,1
2020,HOU,CLE,10,Sun,1:00PM,0,-4.4%,4.0,-3,1.0,2.5,-1.67,2.33,-1.33,"[[5.5, 3.0], [0.0, -2.0]]",1,HOU,1
2020,IND,TEN,10,Thu,8:20PM,0,16.4%,-1.0,17,16.0,8.2,-0.41,-1.41,17.41,"[[4.0, 2.0], [-1.0, -3.5]]",1,TEN,0
2020,JAX,GB,10,Sun,1:00PM,0,-18.8%,14.0,-4,10.0,-30.4,-8.73,5.27,4.73,"[[12.5, 10.0], [7.0, 5.0]]",0,,1
2020,LAC,MIA,10,Sun,4:05PM,0,-4.4%,1.5,-8,-6.5,-5.2,-3.36,-1.8599999999999999,-4.640000000000001,"[[7.0, 5.0], [2.0, -0.5]]",1,MIA,1
2020,LAR,SEA,10,Sun,4:25PM,1,10.3%,-2.5,7,4.5,-2.5999999999999996,1.65,-0.8500000000000001,5.35,"[[2.0, -0.0], [-3.0, -5.5]]",0,,0
2020,LV,DEN,10,Sun,4:05PM,1,-6.6%,-3.5,25,21.5,9.500000000000002,4.29,0.79,20.71,"[[-0.5, -3.0], [-6.0, -8.0]]",0,,1
2020,MIA,LAC,10,Sun,4:05PM,1,0.8%,-1.5,8,6.5,5.2,3.36,1.8599999999999999,4.640000000000001,"[[0.5, -2.0], [-5.0, -7.0]]",1,MIA,1
2020,MIN,CHI,10,Mon,8:15PM,0,2.8%,-3.0,6,3.0,4.5,-1.23,-4.23,7.23,"[[5.0, 2.5], [-0.5, -2.5]]",0,,0
2020,NE,BAL,10,Sun,8:20PM,1,-13.1%,7.0,6,13.0,-31.6,-4.87,2.13,10.870000000000001,"[[8.5, 6.5], [3.5, 1.0]]",1,NE,1
2020,NO,SF,10,Sun,4:25PM,1,25.4%,-10.0,14,4.0,22.5,7.07,-2.9299999999999997,6.93,"[[-3.5, -5.5], [-8.5, -11.0]]",1,SF,0
2020,NYG,PHI,10,Sun,1:00PM,1,-12.4%,4.0,10,14.0,-4.9,1.15,5.15,8.85,"[[2.5, 0.5], [-2.5, -5.0]]",0,,1
2020,PHI,NYG,10,Sun,1:00PM,0,-7.5%,-4.0,-10,-14.0,4.9,-1.15,-5.15,-8.85,"[[5.0, 2.5], [-0.5, -2.5]]",0,,1
2020,PIT,CIN,10,Sun,4:25PM,1,18.3%,-7.0,26,19.0,37.2,10.14,3.1400000000000006,15.86,"[[-6.5, -8.5], [-11.5, -14.0]]",1,PIT,1
2020,SEA,LAR,10,Sun,4:25PM,0,12.9%,2.5,-7,-4.5,2.5999999999999996,-1.65,0.8500000000000001,-5.35,"[[5.5, 3.0], [0.0, -2.0]]",0,,0
2020,SF,NO,10,Sun,4:25PM,0,2.9%,10.0,-14,-4.0,-22.5,-7.07,2.9299999999999997,-6.93,"[[11.0, 8.5], [5.5, 3.5]]",1,SF,0
2020,TB,CAR,10,Sun,1:00PM,0,20.9%,-6.0,23,17.0,24.599999999999998,3.27,-2.73,19.73,"[[0.5, -2.0], [-5.0, -7.0]]",1,CAR,0
2020,TEN,IND,10,Thu,8:20PM,1,8.2%,1.0,-17,-16.0,-8.2,0.41,1.41,-17.41,"[[3.5, 1.0], [-2.0, -4.0]]",1,TEN,0
2020,WAS,DET,10,Sun,1:00PM,0,-15.2%,3.0,-3,0.0,-11.799999999999999,-4.79,-1.79,1.79,"[[8.5, 6.5], [3.5, 1.0]]",1,DET,1
