Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,Betting Spread,Scoring Margin,SRD
2020,ARI,MIA,9,Sun,4:25PM,1,7.2%,-6.0,-3,-9.0
2020,ATL,DEN,9,Sun,1:00PM,1,-4.0%,-4.0,7,3.0
2020,BAL,IND,9,Sun,1:00PM,0,20.3%,-1.0,14,13.0
2020,BUF,SEA,9,Sun,1:00PM,1,3.4%,3.0,10,13.0
2020,CAR,KC,9,Sun,1:00PM,0,-6.5%,10.5,-2,8.5
2020,CHI,TEN,9,Sun,1:00PM,0,-2.9%,6.5,-7,-0.5
2020,DAL,PIT,9,Sun,4:25PM,1,-17.2%,14.5,-5,9.5
2020,DEN,ATL,9,Sun,1:00PM,0,-13.6%,4.0,-7,-3.0
2020,DET,MIN,9,Sun,1:00PM,0,0.0%,3.5,-14,-10.5
2020,GB,SF,9,Thu,8:20PM,0,8.7%,-6.0,17,11.0
2020,HOU,JAX,9,Sun,1:00PM,0,-4.5%,-6.5,2,-4.5
2020,IND,BAL,9,Sun,1:00PM,1,16.7%,1.0,-14,-13.0
2020,JAX,HOU,9,Sun,1:00PM,1,-19.0%,6.5,-2,4.5
2020,KC,CAR,9,Sun,1:00PM,1,24.9%,-10.5,2,-8.5
2020,LAC,LV,9,Sun,4:05PM,1,-2.6%,1.0,-5,-4.0
2020,LV,LAC,9,Sun,4:05PM,0,-8.2%,-1.0,5,4.0
2020,MIA,ARI,9,Sun,4:25PM,0,-1.3%,6.0,3,9.0
2020,MIN,DET,9,Sun,1:00PM,1,-1.3%,-3.5,14,10.5
2020,NE,NYJ,9,Mon,8:15PM,0,-11.1%,-10.0,3,-7.0
2020,NO,TB,9,Sun,8:20PM,0,18.3%,3.5,35,38.5
2020,NYG,WAS,9,Sun,1:00PM,0,-12.5%,2.5,3,5.5
2020,NYJ,NE,9,Mon,8:15PM,1,-30.5%,10.0,-3,7.0
2020,PIT,DAL,9,Sun,4:25PM,0,19.9%,-14.5,5,-9.5
2020,SEA,BUF,9,Sun,1:00PM,0,15.9%,-3.0,-10,-13.0
2020,SF,GB,9,Thu,8:20PM,1,6.6%,6.0,-17,-11.0
2020,TB,NO,9,Sun,8:20PM,1,26.6%,-3.5,-35,-38.5
2020,TEN,CHI,9,Sun,1:00PM,1,7.3%,-6.5,7,0.5
2020,WAS,NYG,9,Sun,1:00PM,1,-13.5%,-2.5,-3,-5.5
